+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| evaluate_obligation ...................................................  | 231.93s   | 20.581          | 232.27s  | 668701     | 1128934    | 175.54ms     |
| LLVM_module_optimize ..................................................  | 130.91s   | 11.617          | 130.91s  | 17         | 0          | 0.00ns       |
| LLVM_lto_optimize .....................................................  | 89.99s    | 7.986           | 89.99s   | 16         | 0          | 0.00ns       |
| LLVM_module_codegen_emit_obj ..........................................  | 65.29s    | 5.794           | 65.29s   | 17         | 0          | 0.00ns       |
| LLVM_passes ...........................................................  | 38.23s    | 3.393           | 38.40s   | 1          | 0          | 0.00ns       |
| codegen_module ........................................................  | 32.41s    | 2.876           | 32.97s   | 16         | 0          | 0.00ns       |
| finish_ongoing_codegen ................................................  | 29.72s    | 2.637           | 29.72s   | 1          | 0          | 0.00ns       |
| typeck ................................................................  | 24.52s    | 2.176           | 29.18s   | 20934      | 229550     | 23.02ms      |
| mir_borrowck ..........................................................  | 15.48s    | 1.373           | 263.47s  | 8221       | 27945      | 0.00ns       |
| type_op_prove_predicate ...............................................  | 15.24s    | 1.352           | 228.82s  | 195144     | 416940     | 0.00ns       |
| check_mod_privacy .....................................................  | 14.10s    | 1.252           | 14.11s   | 102        | 0          | 0.00ns       |
| MIR_borrow_checking ...................................................  | 8.07s     | 0.716           | 27.12s   | 1          | 0          | 0.00ns       |
| check_coroutine_obligations ...........................................  | 7.75s     | 0.688           | 7.75s    | 4511       | 3300       | 0.00ns       |
| LLVM_thin_lto_import ..................................................  | 7.32s     | 0.649           | 7.32s    | 16         | 0          | 0.00ns       |
| codegen_module_optimize ...............................................  | 7.04s     | 0.625           | 137.95s  | 17         | 0          | 0.00ns       |
| mir_built .............................................................  | 5.47s     | 0.486           | 21.00s   | 20934      | 41868      | 0.00ns       |
| codegen_crate .........................................................  | 5.15s     | 0.457           | 35.36s   | 1          | 0          | 0.00ns       |
| codegen_module_perform_lto ............................................  | 3.72s     | 0.330           | 167.26s  | 16         | 0          | 0.00ns       |
| codegen_select_candidate ..............................................  | 3.47s     | 0.308           | 3.55s    | 72206      | 18257      | 0.00ns       |
| normalize_canonicalized_projection_ty .................................  | 3.09s     | 0.274           | 3.11s    | 62038      | 108752     | 0.00ns       |
| layout_of .............................................................  | 3.04s     | 0.270           | 47.64s   | 523694     | 15276411   | 217.14µs     |
| expand_proc_macro .....................................................  | 2.93s     | 0.260           | 2.93s    | 1807       | 0          | 0.00ns       |
| lint_mod ..............................................................  | 2.60s     | 0.231           | 2.64s    | 102        | 0          | 0.00ns       |
| optimized_mir .........................................................  | 2.49s     | 0.221           | 26.35s   | 21791      | 803537     | 0.00ns       |
| mir_pass_elaborate_drops ..............................................  | 2.17s     | 0.192           | 4.43s    | 23036      | 0          | 0.00ns       |
| check_type_wf .........................................................  | 2.06s     | 0.182           | 2.94s    | 1          | 0          | 0.00ns       |
| check_well_formed .....................................................  | 1.83s     | 0.163           | 27.05s   | 31282      | 20934      | 0.00ns       |
| check_match ...........................................................  | 1.62s     | 0.144           | 11.35s   | 20934      | 0          | 0.00ns       |
