+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| evaluate_obligation ...................................................  | 235.47s   | 19.629          | 235.81s  | 665649     | 1048674    | 288.85ms     |
| LLVM_module_optimize ..................................................  | 149.95s   | 12.499          | 149.95s  | 17         | 0          | 0.00ns       |
| LLVM_lto_optimize .....................................................  | 104.60s   | 8.719           | 104.60s  | 16         | 0          | 0.00ns       |
| LLVM_module_codegen_emit_obj ..........................................  | 73.40s    | 6.119           | 73.40s   | 17         | 0          | 0.00ns       |
| LLVM_passes ...........................................................  | 47.90s    | 3.993           | 48.06s   | 1          | 0          | 0.00ns       |
| finish_ongoing_codegen ................................................  | 39.10s    | 3.259           | 39.10s   | 1          | 0          | 0.00ns       |
| codegen_module ........................................................  | 34.43s    | 2.870           | 36.26s   | 16         | 0          | 0.00ns       |
| typeck ................................................................  | 25.06s    | 2.089           | 29.57s   | 20934      | 229550     | 46.80ms      |
| mir_borrowck ..........................................................  | 15.80s    | 1.317           | 267.89s  | 8221       | 27945      | 195.83ms     |
| type_op_prove_predicate ...............................................  | 15.14s    | 1.262           | 231.62s  | 193938     | 416940     | 62.64µs      |
| check_mod_privacy .....................................................  | 14.21s    | 1.184           | 14.21s   | 102        | 0          | 0.00ns       |
| codegen_module_optimize ...............................................  | 7.71s     | 0.643           | 157.66s  | 17         | 0          | 0.00ns       |
| check_coroutine_obligations ...........................................  | 7.60s     | 0.634           | 7.60s    | 4511       | 3300       | 0.00ns       |
| LLVM_thin_lto_import ..................................................  | 7.17s     | 0.598           | 7.17s    | 16         | 0          | 0.00ns       |
| mir_built .............................................................  | 5.65s     | 0.471           | 22.06s   | 20934      | 41868      | 0.00ns       |
| codegen_crate .........................................................  | 5.39s     | 0.449           | 35.77s   | 1          | 0          | 0.00ns       |
| codegen_module_perform_lto ............................................  | 4.40s     | 0.366           | 190.57s  | 16         | 0          | 0.00ns       |
| expand_proc_macro .....................................................  | 3.76s     | 0.313           | 3.76s    | 1807       | 0          | 0.00ns       |
| normalize_canonicalized_projection_ty .................................  | 3.19s     | 0.266           | 3.21s    | 60539      | 108153     | 0.00ns       |
| codegen_select_candidate ..............................................  | 3.01s     | 0.251           | 3.10s    | 70349      | 17254      | 0.00ns       |
| layout_of .............................................................  | 2.97s     | 0.248           | 47.07s   | 516273     | 16272437   | 837.93µs     |
| optimized_mir .........................................................  | 2.67s     | 0.223           | 27.11s   | 21850      | 818448     | 0.00ns       |
| mir_pass_elaborate_drops ..............................................  | 2.10s     | 0.175           | 4.29s    | 23036      | 0          | 0.00ns       |
| lint_mod ..............................................................  | 2.03s     | 0.170           | 2.07s    | 102        | 0          | 0.00ns       |
